16;air_base;1751.00;10.20;1861.00;0.20;0
16;supply_node;1752.00;10.20;1863.00;4.07;0
16;supply_node;1722.00;10.10;1865.00;3.54;0
16;supply_node;1737.00;10.20;1861.00;5.01;0
16;bunker;1716.00;10.12;1863.00;2.34;0
16;bunker;1752.00;10.20;1866.00;0.18;0
16;bunker;1732.00;10.20;1855.00;3.96;0
27;supply_node;1705.00;10.18;2011.00;2.31;0
27;supply_node;1705.00;10.20;2024.00;2.61;0
27;bunker;1702.00;10.10;2012.00;1.80;0
27;bunker;1711.00;10.20;2026.00;0.25;0
27;fuel_silo;1697.00;10.23;2021.00;6.19;0
30;supply_node;1684.00;10.10;2074.00;4.03;0
30;supply_node;1697.00;10.10;2077.00;0.63;0
30;bunker;1691.00;10.18;2068.00;1.45;0
30;bunker;1689.00;10.20;2081.00;5.58;0
31;supply_node;1658.00;10.20;2130.00;1.39;0
31;supply_node;1665.00;10.15;2128.00;5.74;0
31;bunker;1663.00;10.10;2136.00;0.92;0
31;bunker;1665.00;10.15;2128.00;3.59;0
37;supply_node;1466.00;10.07;2069.00;1.63;0
37;bunker;1480.00;10.25;2062.00;5.14;0
57;supply_node;2125.00;10.40;2077.00;4.02;0
57;supply_node;2107.00;10.10;2086.00;5.20;0
57;bunker;2101.00;10.32;2093.00;2.85;0
57;fuel_silo;2106.00;10.10;2087.00;2.48;0
61;supply_node;2373.00;10.10;2077.00;4.67;0
61;supply_node;2370.00;10.10;2056.00;1.32;0
61;supply_node;2399.00;10.00;2070.00;1.50;0
61;bunker;2377.00;10.00;2058.00;0.79;0
61;bunker;2393.00;10.00;2072.00;1.29;0
61;anti_air_building;2363.00;10.10;2057.00;5.58;0
61;anti_air_building;2402.00;9.95;2057.00;0.86;0
61;anti_air_building;2389.00;10.00;2077.00;3.52;0
63;air_base;2677.00;9.95;2315.00;5.28;0
63;supply_node;2686.00;10.23;2262.00;4.20;0
63;supply_node;2614.00;9.95;2336.00;2.27;0
63;supply_node;2636.00;10.10;2266.00;0.33;0
63;supply_node;2749.00;10.12;2260.00;5.85;0
